Module                  Size  Used by
xt_LOG                 16384  10
nf_log_syslog          28672  10
nft_limit              16384  13
xt_limit               12288  0
xt_addrtype            12288  4
xt_tcpudp              20480  60
xt_conntrack           12288  16
nf_conntrack          208896  1 xt_conntrack
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
nft_compat             20480  117
nf_tables             430080  594 nft_compat,nft_limit
tcp_bbr                28672  9
uinput                 32768  0
pkcs8_key_parser       12288  0
ntsync                 20480  0
crypto_user            12288  0
dm_mod                237568  0
loop                   40960  0
nfnetlink              20480  3 nft_compat,nf_tables
zram                   77824  0
842_compress           24576  1 zram
842_decompress         16384  1 zram
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
ip_tables              36864  0
x_tables               65536  11 xt_conntrack,nft_compat,xt_LOG,xt_tcpudp,xt_addrtype,ip6t_rt,ipt_REJECT,ip_tables,xt_limit,xt_hl,ip6t_REJECT
xe                   4067328  0
drm_gpusvm_helper      36864  1 xe
gpu_sched              69632  1 xe
drm_gpuvm              49152  1 xe
drm_exec               16384  2 drm_gpuvm,xe
drm_suballoc_helper    20480  1 xe
i915                 5132288  3
sdhci_pci             122880  0
cqhci                  45056  1 sdhci_pci
sdhci_uhs2             40960  1 sdhci_pci
drm_buddy              32768  2 xe,i915
nvme                   73728  3
intel_gtt              32768  1 i915
sdhci                 110592  2 sdhci_uhs2,sdhci_pci
i2c_algo_bit           20480  2 xe,i915
nvme_core             278528  4 nvme
intel_lpss_pci         28672  0
nvme_keyring           20480  1 nvme_core
drm_display_helper    282624  2 xe,i915
mmc_core              299008  4 sdhci_uhs2,sdhci,cqhci,sdhci_pci
spi_intel_pci          12288  0
intel_lpss             16384  1 intel_lpss_pci
nvme_auth              32768  1 nvme_core
serio_raw              20480  0
spi_intel              40960  1 spi_intel_pci
idma64                 20480  0
cec                   102400  3 drm_display_helper,xe,i915
intel_vsec             24576  3 intel_pmc_ssram_telemetry,pmt_telemetry,xe
hid_asus               36864  0
asus_wmi              126976  3 asus_armoury,asus_nb_wmi,hid_asus
sparse_keymap          12288  1 asus_wmi
platform_profile       20480  1 asus_wmi
rfkill                 45056  8 iwlmvm,asus_wmi,bluetooth,cfg80211
nvidia_drm            151552  22
drm_ttm_helper         16384  3 nvidia_drm,xe
ttm                   131072  3 drm_ttm_helper,xe,i915
nvidia_uvm           2560000  0
nvidia_modeset       2113536  9 nvidia_drm
video                  81920  5 asus_wmi,asus_nb_wmi,xe,i915,nvidia_modeset
wmi                    36864  4 video,asus_armoury,asus_wmi,wmi_bmof
nvidia              15138816  206 nvidia_uvm,nvidia_modeset
